chain,query_id,question,language,item_title,relevant_count,recall@5,recall@10,recall@20,precision@5,precision@10,precision@20,hit@5,hit@10,hit@20,ndcg@5,ndcg@10,ndcg@20,mrr,first_relevant_rank,retrieved_detail
bottom_up,q001,在RAG系统中，父子块之间的映射关系通常通过什么方式在工程落地中建立,zh,面试常见问题,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:be865ef7...(0.9112) |  #2:bf92531b...(0.7957) |  #3:a06d5f37...(0.7741) |  #4:0a983328...(0.7675) |  #5:685631cc...(0.7513) |  #6:a87597be...(0.7467) |  #7:24f49a0c...(0.7427) |  #8:7c362dea...(0.7397) |  #9:c2ca6f6a...(0.7396) |  #10:1f62beea...(0.7363) |  #11:77e253e7...(0.7242) |  #12:15df4c6f...(0.7206) |  #13:99887fcf...(0.7181) |  #14:2ca6c71c...(0.7075) |  #15:65291676...(0.7067) |  #16:95ce1fc4...(0.6943)
bottom_up,q002,在Skill管理中，两阶段调用的第一阶段应检索多少个最相关的Skill,zh,面试常见问题,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:95ce1fc4...(0.8632) |  #2:49cbeb99...(0.7456) |  #3:9bd8d97a...(0.7329) |  #4:be865ef7...(0.7079) |  #5:77e253e7...(0.6940) |  #6:0a983328...(0.6889) |  #7:3dcb4c24...(0.6758) |  #8:65291676...(0.6568) |  #9:99887fcf...(0.6393) |  #10:7f837269...(0.6193) |  #11:a87597be...(0.6133) |  #12:55c76298...(0.6065) |  #13:1f62beea...(0.5908) |  #14:a06d5f37...(0.5904)
bottom_up,q003,What is the LLM-as-a-Judge evaluation method and how does it work,en,面试常见问题,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:7c362dea...(0.9021) |  #2:0a983328...(0.8740) |  #3:bc6f2774...(0.7688) |  #4:55c76298...(0.7531) |  #5:77e253e7...(0.7435) |  #6:996a3b64...(0.6707) |  #7:9bd8d97a...(0.6682) |  #8:67fa8fd0...(0.6602) |  #9:f49041e1...(0.6529) |  #10:7a8a2f37...(0.6511) |  #11:760beb4d...(0.6431) |  #12:a77d5fe1...(0.6351) |  #13:7f837269...(0.6071) |  #14:3d3124c8...(0.4907) |  #15:3dcb4c24...(0.4412)
bottom_up,q004,What is the core of Gemini CLI design and what are its optimization points,en,面试常见问题,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:3dcb4c24...(0.9265) |  #2:0890a31a...(0.6148) |  #3:bc6f2774...(0.6081) |  #4:c7b37408...(0.5860) |  #5:7f837269...(0.4421) |  #6:5e876c0c...(0.4403) |  #7:a96a0bd4...(0.4254) |  #8:760beb4d...(0.3990) |  #9:24f49a0c...(0.3975) |  #10:9bd8d97a...(0.3975) |  #11:99887fcf...(0.3950) |  #12:88bcf776...(0.3950) |  #13:be865ef7...(0.3925)
bottom_up,q005,"What is the recommended workflow for beginners when fine-tuning a model, according to the document",en,大模型微调指南,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:ca850b02...(0.7646) |  #2:760beb4d...(0.7615) |  #3:7a8a2f37...(0.7484) |  #4:a96a0bd4...(0.7344) |  #5:f49041e1...(0.7225) |  #6:55c76298...(0.7094) |  #7:15df4c6f...(0.6904) |  #8:95ce1fc4...(0.6527) |  #9:057b630a...(0.5097) |  #10:b8dd3beb...(0.5021)
bottom_up,q006,LangSmith链路可观测的核心价值有哪些？请结合文档举例说明如何通过它定位RAG系统中的问题。,zh,面试常见问题,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:bc6f2774...(0.9181) |  #2:7f837269...(0.8448) |  #3:bf92531b...(0.8364) |  #4:a06d5f37...(0.8165) |  #5:0a983328...(0.8158) |  #6:24f49a0c...(0.7831) |  #7:7c362dea...(0.7815) |  #8:c2ca6f6a...(0.7728) |  #9:77e253e7...(0.7727) |  #10:a87597be...(0.7712) |  #11:15df4c6f...(0.7560) |  #12:1f62beea...(0.7480) |  #13:56762f0a...(0.7453) |  #14:95ce1fc4...(0.7393) |  #15:65291676...(0.7391) |  #16:685631cc...(0.7362)
bottom_up,q007,在GRPO训练中，思考长度与答案正确性之间存在怎样的相关性？请结合短期与长期奖励、探索与利用以及任务复杂度等方面进行解释。,zh,好未来,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:0c3fd6f7...(0.9684) |  #2:38f5e47d...(0.9683) |  #3:88bcf776...(0.7644) |  #4:1f2f4747...(0.7447) |  #5:7a8a2f37...(0.4235)
bottom_up,q008,What is the effective date of the C/C++ coding standard document,en,C++编码规范V01.00,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:1cab8a39...(0.7620) |  #2:17262962...(0.7334) |  #3:0265a7d3...(0.6844) |  #4:4047afa3...(0.6742) |  #5:9a0635f7...(0.6676) |  #6:c5b87c53...(0.6335) |  #7:fb81fe95...(0.5550) |  #8:ed1a1585...(0.4857) |  #9:c7b37408...(0.4784) |  #10:d6bf5e42...(0.4733) |  #11:e455a3de...(0.4491)
bottom_up,q009,PPO算法中用于限制策略更新幅度的clip范围通常设为多少,zh,好未来,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:88bcf776...(0.8848) |  #2:1f2f4747...(0.7664) |  #3:996a3b64...(0.7565) |  #4:0c3fd6f7...(0.7326) |  #5:38f5e47d...(0.5014) |  #6:1c47194f...(0.4658)
bottom_up,q010,在文本分类任务的最小可行方案中，推荐的数据量是多少,zh,大模型微调指南,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,, #1:f49041e1...(0.8968) |  #2:760beb4d...(0.8461) |  #3:15df4c6f...(0.6800) |  #4:3d3124c8...(0.5294) |  #5:1c47194f...(0.4834) |  #6:0a983328...(0.4699) |  #7:6d669434...(0.4588) |  #8:66e3e8e5...(0.4570) |  #9:685631cc...(0.4495)
